corporate_name_s2,main_customers,revenue,profit
Massive Dynamic 324 Corp.,SupplyHub|CoreTrade|BuildIt,5089852.79,1091313.48
WONKA 533 Inc,SupplyHub|MegaMart,4814009.06,581427.18
BLUE SUN 792 Limited,UrbanWorks|RetailCo,3115519.79,426569.74
Massive Dynamic 114 LLC.,RetailCo|BuildIt|SupplyHub,7544897.25,1594558.09
Vehement 1221 Inc.,CoreTrade,9232346.56,680812.64
"Cyberdyne 295, Limited",RetailCo|UrbanWorks|SupplyHub|BuildIt,1938137.4,135822.84
Monarch 741,BuildIt|MegaMart,1286177.78,227088.17
Oscorp 646 Corporation,SupplyHub,2869782.28,147978.27
Globex 1064 Corporation,CoreTrade|BuildIt|MegaMart|SupplyHub,8439462.39,1914464.23
GLOBEX 146 Corporation,BuildIt|MegaMart,8238944.89,924102.4
Gringotts 627,SupplyHub|BuildIt|MegaMart|CoreTrade,9645760.92,718199.23
Monarch 1599 Inc,RetailCo|CoreTrade|UrbanWorks,3551624.54,782060.99
Virtucon 1668 Limited.,RetailCo|CoreTrade,5220407.64,810191.98
Blue Sun 990 Ltd,SupplyHub,2791464.66,472162.62
LexCorp 1056 Ltd,RetailCo,7312257.36,1029257.54
LEXCORP 1817 LLC,BuildIt,4784994.65,466617.81
Initrode 2433,SupplyHub,1128484.1,118482.69
Globex 396 Corporation,BuildIt,2152682.88,203991.23
ACME 1013 Corporation,UrbanWorks|MegaMart|CoreTrade,7271551.66,564709.69
Monarch 2465 Corp,MegaMart|BuildIt,497276.79,116197.47
Globex 1654 LLC,UrbanWorks|RetailCo|BuildIt|MegaMart,4145137.85,95843.82
"Soylent 652, Corporation",RetailCo|CoreTrade|SupplyHub|UrbanWorks,6602957.77,536828.46
Pied Piper 2325 Corp,RetailCo|BuildIt|MegaMart,6999594.12,528679.54
Pied Piper 1432 LLC,UrbanWorks|CoreTrade,6304908.87,883456.47
"Abstergo 1718, Corporation",RetailCo,4554722.16,676115.56
"Hooli 43, Inc",SupplyHub|RetailCo,9302457.16,1205686.66
STARK 805 Ltd,SupplyHub|UrbanWorks|MegaMart|BuildIt,7331897.15,363132.81
MASSIVE DYNAMIC 328 Limited,BuildIt,4042418.15,838977.2
Aperture 2338 Corporation,MegaMart|UrbanWorks|RetailCo|CoreTrade,9398128.3,748736.41
Stark 999 Corporation.,BuildIt|CoreTrade|UrbanWorks,3877616.34,88803.47
TYRELL 2181 LLC,MegaMart,8404196.78,1407141.15
Stark 299,CoreTrade|BuildIt|SupplyHub|RetailCo,6284930.75,1430518.59
"LexCorp 975, Inc",BuildIt|MegaMart|CoreTrade,2698277.42,150329.41
"Wonka 834, Limited",RetailCo,3671898.46,257923.02
Gringotts 935,UrbanWorks|CoreTrade|MegaMart,1216848.34,44339.86
"Virtucon 1248, Ltd",RetailCo|CoreTrade,6359498.01,1529646.84
"Tyrell 2017, Ltd",SupplyHub|MegaMart|CoreTrade|RetailCo,9487595.43,1181093.65
"Initech 570, Ltd",BuildIt|SupplyHub,6675023.83,683463.89
Blue Sun 811,SupplyHub|CoreTrade,3518406.45,614475.45
"Soylent 934, Corporation",RetailCo|SupplyHub|CoreTrade|MegaMart,4785043.82,573707.89
Aperture 2476 Inc,RetailCo|SupplyHub,8799787.56,1101638.71
INITRODE 2165 Limited,RetailCo|UrbanWorks|SupplyHub,2950988.46,61128.49
Hooli 2411 Corporation,CoreTrade,7320298.83,764775.08
Soylent 2482,CoreTrade,538054.4,48126.66
Initrode 1645,UrbanWorks|BuildIt,2845740.78,384388.14
Umbrella 1794 LLC,MegaMart,1985494.48,228460.19
VEHEMENT 258 LLC,BuildIt|CoreTrade,9419933.5,1480167.98
ACME 1117 Corp,MegaMart|RetailCo,5036558.18,1036093.3
"Gringotts 453, Limited",UrbanWorks|BuildIt,3274584.64,292766.93
Monarch 1046 Ltd.,RetailCo|CoreTrade|MegaMart,5804701.37,1327888.12
Gringotts 129 Limited.,BuildIt,2644923.06,601001.23
Virtucon 339 Corporation,MegaMart|RetailCo,8501826.17,1495985.08
TYRELL 1573 Inc,SupplyHub|BuildIt|UrbanWorks,8887039.6,1453943.91
Vehement 1209 Ltd.,RetailCo|SupplyHub,6981006.51,1099204.15
"Massive Dynamic 1769, LLC",UrbanWorks|RetailCo|SupplyHub|MegaMart,768383.48,18486.71
LexCorp 1445 Corp.,RetailCo,2456960.87,118237.98
"Gringotts 1323, LLC",MegaMart|RetailCo,8097664.37,1057711.23
Pied Piper 331 Corp.,CoreTrade,4453392.67,1068770.17
Vehement 1162 Limited.,SupplyHub|MegaMart|BuildIt|UrbanWorks,805304.43,129694.65
Blue Sun 953 Ltd.,RetailCo|SupplyHub,4619686.31,345385.53
Monarch 2262,CoreTrade,3834555.33,187143.94
Globex 1747 Limited.,CoreTrade,7120086.09,365905.01
Initrode 1673,BuildIt|SupplyHub|RetailCo,5551363.88,876481.33
Soylent 2315 Inc.,MegaMart|SupplyHub|CoreTrade,3682623.48,371784.63
Initech 2457 Inc,BuildIt|UrbanWorks|RetailCo,2260723.71,180845.6
Aperture 340,CoreTrade,2436354.27,410251.51
Wonka 1057 Corp.,RetailCo|SupplyHub|CoreTrade|MegaMart,5756173.76,858064.48
Stark 642,MegaMart|SupplyHub|RetailCo,7957274.51,905454.72
INITECH 2112 Corporation,CoreTrade|UrbanWorks|RetailCo|BuildIt,6315940.7,825791.12
Initrode 2120 Ltd,MegaMart|BuildIt,4043236.01,187482.79
